id,filename,name,datum,utm_zone
10323803,MDT02-ETRS89-HU29-0067-2-COB2.asc,0067-2,ETRS89,29
10323724,MDT02-ETRS89-HU29-0067-4-COB2.asc,0067-4,ETRS89,29
10323838,MDT02-ETRS89-HU29-0068-1-COB2.asc,0068-1,ETRS89,29
10323916,MDT02-ETRS89-HU29-0068-2-COB2.asc,0068-2,ETRS89,29
10323861,MDT02-ETRS89-HU29-0068-3-COB2.asc,0068-3,ETRS89,29
10323696,MDT02-ETRS89-HU29-0068-4-COB2.asc,0068-4,ETRS89,29
10323848,MDT02-ETRS89-HU29-0069-1-COB2.asc,0069-1,ETRS89,29
10323709,MDT02-ETRS89-HU29-0069-2-COB2.asc,0069-2,ETRS89,29
10323777,MDT02-ETRS89-HU29-0069-3-COB2.asc,0069-3,ETRS89,29
10323850,MDT02-ETRS89-HU29-0069-4-COB2.asc,0069-4,ETRS89,29
10323695,MDT02-ETRS89-HU29-0070-1-COB2.asc,0070-1,ETRS89,29
10323882,MDT02-ETRS89-HU29-0070-2-COB2.asc,0070-2,ETRS89,29
10323710,MDT02-ETRS89-HU29-0070-3-COB2.asc,0070-3,ETRS89,29
10323900,MDT02-ETRS89-HU29-0070-4-COB2.asc,0070-4,ETRS89,29
10323721,MDT02-ETRS89-HU29-0071-1-COB2.asc,0071-1,ETRS89,29
10323973,MDT02-ETRS89-HU29-0071-2-COB2.asc,0071-2,ETRS89,29
10323855,MDT02-ETRS89-HU29-0071-3-COB2.asc,0071-3,ETRS89,29
10323945,MDT02-ETRS89-HU29-0071-4-COB2.asc,0071-4,ETRS89,29
10323957,MDT02-ETRS89-HU29-0072-1-COB2.asc,0072-1,ETRS89,29
10323719,MDT02-ETRS89-HU29-0072-2-COB2.asc,0072-2,ETRS89,29
10323940,MDT02-ETRS89-HU29-0072-3-COB2.asc,0072-3,ETRS89,29
10323902,MDT02-ETRS89-HU29-0072-4-COB2.asc,0072-4,ETRS89,29
10323785,MDT02-ETRS89-HU29-0073-1-COB2.asc,0073-1,ETRS89,29
