filename,id,datum,utm_zone,date,size
PNOA-MDT25-ETRS89-HU29-0598-LID.TIF,0598,ETRS89,29,2010,3.56
PNOA-MDT25-ETRS89-HU29-0620-LID.TIF,0620,ETRS89,29,2010,1.33
PNOA-MDT25-ETRS89-HU29-0621-LID.TIF,0621,ETRS89,29,2010,3.35
PNOA-MDT25-ETRS89-HU29-0622-LID.TIF,0622,ETRS89,29,2010,3.37
PNOA-MDT25-ETRS89-HU29-0623-LID.TIF,0623,ETRS89,29,2010,3.47
PNOA-MDT25-ETRS89-HU29-0648-LID.TIF,0648,ETRS89,29,2010,2.07
PNOA-MDT25-ETRS89-HU29-0649-LID.TIF,0649,ETRS89,29,2010,3.23
PNOA-MDT25-ETRS89-HU29-0650-LID.TIF,0650,ETRS89,29,2010,3.34
PNOA-MDT25-ETRS89-HU29-0651-LID.TIF,0651,ETRS89,29,2010,3.42
PNOA-MDT25-ETRS89-HU29-0674-LID.TIF,0674,ETRS89,29,2010,0.88
PNOA-MDT25-ETRS89-HU29-0675-LID.TIF,0675,ETRS89,29,2010,3.33
PNOA-MDT25-ETRS89-HU29-0676-LID.TIF,0676,ETRS89,29,2010,3.36
PNOA-MDT25-ETRS89-HU29-0677-LID.TIF,0677,ETRS89,29,2010,3.33
PNOA-MDT25-ETRS89-HU29-0678-LID.TIF,0678,ETRS89,29,2010,3.38
PNOA-MDT25-ETRS89-HU29-0679-LID.TIF,0679,ETRS89,29,2010,3.43
PNOA-MDT25-ETRS89-HU29-0701-LID.TIF,0701,ETRS89,29,2010,2.57
PNOA-MDT25-ETRS89-HU29-0702-LID.TIF,0702,ETRS89,29,2010,3.4
PNOA-MDT25-ETRS89-HU29-0703-LID.TIF,0703,ETRS89,29,2010,3.39
PNOA-MDT25-ETRS89-HU29-0704-LID.TIF,0704,ETRS89,29,2010,3.35
PNOA-MDT25-ETRS89-HU29-0705-LID.TIF,0705,ETRS89,29,2010,3.43
PNOA-MDT25-ETRS89-HU29-0726-LID.TIF,0726,ETRS89,29,2010,1.78
PNOA-MDT25-ETRS89-HU29-0727-LID.TIF,0727,ETRS89,29,2010,3.34
PNOA-MDT25-ETRS89-HU29-0728-LID.TIF,0728,ETRS89,29,2010,3.38
PNOA-MDT25-ETRS89-HU29-0729-LID.TIF,0729,ETRS89,29,2010,3.41
PNOA-MDT25-ETRS89-HU29-0730-LID.TIF,0730,ETRS89,29,2010,3.52
PNOA-MDT25-ETRS89-HU29-0750-LID.TIF,0750,ETRS89,29,2010,2.52
PNOA-MDT25-ETRS89-HU29-0751-LID.TIF,0751,ETRS89,29,2010,3.28
PNOA-MDT25-ETRS89-HU29-0752-LID.TIF,0752,ETRS89,29,2010,3.38
PNOA-MDT25-ETRS89-HU29-0753-LID.TIF,0753,ETRS89,29,2010,3.25
PNOA-MDT25-ETRS89-HU29-0775-LID.TIF,0775,ETRS89,29,2010,2.41
PNOA-MDT25-ETRS89-HU29-0776-LID.TIF,0776,ETRS89,29,2010,3.06
PNOA-MDT25-ETRS89-HU29-0777-LID.TIF,0777,ETRS89,29,2010,3.33
PNOA-MDT25-ETRS89-HU29-0778-LID.TIF,0778,ETRS89,29,2010,3.27
PNOA-MDT25-ETRS89-HU29-0800-LID.TIF,0800,ETRS89,29,2010,0.95
PNOA-MDT25-ETRS89-HU29-0801-LID.TIF,0801,ETRS89,29,2010,3.25
PNOA-MDT25-ETRS89-HU29-0802-LID.TIF,0802,ETRS89,29,2010,3.28
PNOA-MDT25-ETRS89-HU29-0803-LID.TIF,0803,ETRS89,29,2010,3.21
PNOA-MDT25-ETRS89-HU29-0804-LID.TIF,0804,ETRS89,29,2010,3.57
PNOA-MDT25-ETRS89-HU29-0826-LID.TIF,0826,ETRS89,29,2010,1.47
PNOA-MDT25-ETRS89-HU29-0827-LID.TIF,0827,ETRS89,29,2010,3.45
PNOA-MDT25-ETRS89-HU29-0828-LID.TIF,0828,ETRS89,29,2010,3.45
PNOA-MDT25-ETRS89-HU29-0829-LID.TIF,0829,ETRS89,29,2010,3.39
PNOA-MDT25-ETRS89-HU29-0830-LID.TIF,0830,ETRS89,29,2010,3.61
PNOA-MDT25-ETRS89-HU29-0851-LID.TIF,0851,ETRS89,29,2010,1.49
PNOA-MDT25-ETRS89-HU29-0852-LID.TIF,0852,ETRS89,29,2010,3.46
PNOA-MDT25-ETRS89-HU29-0853-LID.TIF,0853,ETRS89,29,2010,3.63
PNOA-MDT25-ETRS89-HU29-0854-LID.TIF,0854,ETRS89,29,2010,3.45
PNOA-MDT25-ETRS89-HU29-0855-LID.TIF,0855,ETRS89,29,2010,3.55
PNOA-MDT25-ETRS89-HU29-0873-LID.TIF,0873,ETRS89,29,2010,0.41
PNOA-MDT25-ETRS89-HU29-0874-LID.TIF,0874,ETRS89,29,"2010, 2014",3.42
PNOA-MDT25-ETRS89-HU29-0875-LID.TIF,0875,ETRS89,29,"2010, 2014",3.57
PNOA-MDT25-ETRS89-HU29-0876-LID.TIF,0876,ETRS89,29,2010,3.54
PNOA-MDT25-ETRS89-HU29-0877-LID.TIF,0877,ETRS89,29,2010,3.44
PNOA-MDT25-ETRS89-HU29-0895B-LID.TIF,0895,ETRS89,29,"2010, 2014, 2015",0.11
PNOA-MDT25-ETRS89-HU29-0895-LID.TIF,0895,ETRS89,29,"2010, 2014",2.61
PNOA-MDT25-ETRS89-HU29-0896-LID.TIF,0896,ETRS89,29,"2010, 2014",3.62
PNOA-MDT25-ETRS89-HU29-0897-LID.TIF,0897,ETRS89,29,"2010, 2014",3.59
PNOA-MDT25-ETRS89-HU29-0898-LID.TIF,0898,ETRS89,29,"2010, 2014",3.69
PNOA-MDT25-ETRS89-HU29-0915-LID.TIF,0915,ETRS89,29,2014,1.45
PNOA-MDT25-ETRS89-HU29-0916-LID.TIF,0916,ETRS89,29,"2014, 2015",3.58
PNOA-MDT25-ETRS89-HU29-0917-LID.TIF,0917,ETRS89,29,"2010, 2014, 2015",3.68
PNOA-MDT25-ETRS89-HU29-0918-LID.TIF,0918,ETRS89,29,"2010, 2014, 2015",3.61
PNOA-MDT25-ETRS89-HU29-0919-LID.TIF,0919,ETRS89,29,"2010, 2014",3.69
PNOA-MDT25-ETRS89-HU29-0936-LID.TIF,0936,ETRS89,29,2014,2.99
PNOA-MDT25-ETRS89-HU29-0937-LID.TIF,0937,ETRS89,29,"2014, 2015",3.46
PNOA-MDT25-ETRS89-HU29-0938-LID.TIF,0938,ETRS89,29,"2014, 2015",3.59
PNOA-MDT25-ETRS89-HU29-0939-LID.TIF,0939,ETRS89,29,"2014, 2015",3.59
