series,name,id,page
MDT05,PNOA-MDT05-ETRS89-HU30-0041-LID.asc,9071419,6
MDT05,PNOA-MDT05-ETRS89-HU30-0043-LID.asc,9071420,6
MDT05,PNOA-MDT05-ETRS89-HU30-0044-LID.asc,9071421,6
MDT05,PNOA-MDT05-ETRS89-HU30-0045-LID.asc,9071422,6
MDT05,PNOA-MDT05-ETRS89-HU30-0046-LID.asc,9071423,6
MDT05,PNOA-MDT05-ETRS89-HU30-0047-LID.asc,9071424,6
MDT05,PNOA-MDT05-ETRS89-HU30-0048-LID.asc,9071425,6
MDT05,PNOA-MDT05-ETRS89-HU30-0049-LID.asc,9071426,6
MDT05,PNOA-MDT05-ETRS89-HU30-0050-LID.asc,9071427,6
MDT05,PNOA-MDT05-ETRS89-HU30-0051-LID.asc,9071428,6
MDT05,PNOA-MDT05-ETRS89-HU30-0052-LID.asc,9071429,6
MDT05,PNOA-MDT05-ETRS89-HU30-0053-LID.asc,9071430,6
MDT05,PNOA-MDT05-ETRS89-HU30-0054-LID.asc,9071431,6
MDT05,PNOA-MDT05-ETRS89-HU30-0055-LID.asc,9071432,6
MDT05,PNOA-MDT05-ETRS89-HU30-0056-LID.asc,9071433,6
MDT05,PNOA-MDT05-ETRS89-HU30-0057-LID.asc,9071434,6
MDT05,PNOA-MDT05-ETRS89-HU30-0058-LID.asc,9071435,6
MDT05,PNOA-MDT05-ETRS89-HU30-0059-LID.asc,9071436,7
MDT05,PNOA-MDT05-ETRS89-HU30-0060-LID.asc,9071437,7
MDT05,PNOA-MDT05-ETRS89-HU30-0061-LID.asc,9071438,7
MDT05,PNOA-MDT05-ETRS89-HU30-0062-LID.asc,9071439,7
MDT05,PNOA-MDT05-ETRS89-HU30-0063-LID.asc,9071440,7
MDT05,PNOA-MDT05-ETRS89-HU30-0064-LID.asc,9071441,7
MDT05,PNOA-MDT05-ETRS89-HU30-0065-LID.asc,9071442,7
MDT05,PNOA-MDT05-ETRS89-HU30-0066-LID.asc,9071443,7
MDT05,PNOA-MDT05-ETRS89-HU30-0067-LID.asc,9071444,7
MDT05,PNOA-MDT05-ETRS89-HU30-0068-LID.asc,9071445,7
MDT05,PNOA-MDT05-ETRS89-HU30-0069-LID.asc,9071446,7
MDT05,PNOA-MDT05-ETRS89-HU30-0070-LID.asc,9071447,7
MDT05,PNOA-MDT05-ETRS89-HU30-0071-LID.asc,9071448,7
MDT05,PNOA-MDT05-ETRS89-HU30-0072-LID.asc,9071449,7
MDT05,PNOA-MDT05-ETRS89-HU30-0073-LID.asc,9071450,7
MDT05,PNOA-MDT05-ETRS89-HU30-0074-LID.asc,9071451,7
MDT05,PNOA-MDT05-ETRS89-HU30-0075-LID.asc,9071452,7
MDT05,PNOA-MDT05-ETRS89-HU30-0076-LID.asc,9071453,7
MDT05,PNOA-MDT05-ETRS89-HU30-0077-LID.asc,9071454,7
MDT05,PNOA-MDT05-ETRS89-HU30-0078-LID.asc,9071455,7
MDT05,PNOA-MDT05-ETRS89-HU30-0079-LID.asc,9071456,7
MDT05,PNOA-MDT05-ETRS89-HU30-0080-LID.asc,9071457,7
MDT05,PNOA-MDT05-ETRS89-HU30-0081-LID.asc,9071458,7
MDT05,PNOA-MDT05-ETRS89-HU30-0082-LID.asc,9071459,7
MDT05,PNOA-MDT05-ETRS89-HU30-0083-LID.asc,9071460,7
MDT05,PNOA-MDT05-ETRS89-HU30-0084-LID.asc,9071461,7
MDT05,PNOA-MDT05-ETRS89-HU30-0085-LID.asc,9071462,7
MDT05,PNOA-MDT05-ETRS89-HU30-0086-LID.asc,9071463,7
MDT05,PNOA-MDT05-ETRS89-HU30-0087-LID.asc,9071464,7
MDT05,PNOA-MDT05-ETRS89-HU30-0088-LID.asc,9071465,7
MDT05,PNOA-MDT05-ETRS89-HU30-0089-LID.asc,9071466,7
MDT05,PNOA-MDT05-ETRS89-HU30-0090-LID.asc,9071467,7
MDT05,PNOA-MDT05-ETRS89-HU30-0091B-LID.asc,9071469,7
MDT05,PNOA-MDT05-ETRS89-HU30-0091-LID.asc,9071468,7
MDT05,PNOA-MDT05-ETRS89-HU30-0092-LID.asc,9071470,7
MDT05,PNOA-MDT05-ETRS89-HU30-0093-LID.asc,9071471,7
MDT05,PNOA-MDT05-ETRS89-HU30-0094-LID.asc,9071472,7
MDT05,PNOA-MDT05-ETRS89-HU30-0095-LID.asc,9071473,7
MDT05,PNOA-MDT05-ETRS89-HU30-0096-LID.asc,9071474,7
MDT05,PNOA-MDT05-ETRS89-HU30-0097-LID.asc,9071475,7
MDT05,PNOA-MDT05-ETRS89-HU30-0098-LID.asc,9071476,7
MDT05,PNOA-MDT05-ETRS89-HU30-0099-LID.asc,9071477,7
MDT05,PNOA-MDT05-ETRS89-HU30-0100-LID.asc,9071478,7
MDT05,PNOA-MDT05-ETRS89-HU30-0101-LID.asc,9071479,7
MDT05,PNOA-MDT05-ETRS89-HU30-0102-LID.asc,9071480,7
MDT05,PNOA-MDT05-ETRS89-HU30-0103-LID.asc,9071481,7
MDT05,PNOA-MDT05-ETRS89-HU30-0104-LID.asc,9071482,7
MDT05,PNOA-MDT05-ETRS89-HU30-0105-LID.asc,9071483,7
MDT05,PNOA-MDT05-ETRS89-HU30-0106-LID.asc,9071484,7
