filename,name,datum,utm_zone,date,size
PNOA-MDT05-ETRS89-HU29-0623-LID.TIF,0623,MDT05,29,2010,84.44
PNOA-MDT05-ETRS89-HU29-0648-LID.TIF,0648,MDT05,29,2010,51.08
PNOA-MDT05-ETRS89-HU29-0649-LID.TIF,0649,MDT05,29,2010,80.03
PNOA-MDT05-ETRS89-HU29-0650-LID.TIF,0650,MDT05,29,2010,81.74
PNOA-MDT05-ETRS89-HU29-0651-LID.TIF,0651,MDT05,29,2010,83.69
PNOA-MDT05-ETRS89-HU29-0674-LID.TIF,0674,MDT05,29,2010,21.5
PNOA-MDT05-ETRS89-HU29-0675-LID.TIF,0675,MDT05,29,2010,83.18
PNOA-MDT05-ETRS89-HU29-0676-LID.TIF,0676,MDT05,29,2010,82.46
PNOA-MDT05-ETRS89-HU29-0677-LID.TIF,0677,MDT05,29,2010,81.18
PNOA-MDT05-ETRS89-HU29-0678-LID.TIF,0678,MDT05,29,2010,82.99
PNOA-MDT05-ETRS89-HU29-0679-LID.TIF,0679,MDT05,29,2010,84.6
PNOA-MDT05-ETRS89-HU29-0701-LID.TIF,0701,MDT05,29,2010,63.95
PNOA-MDT05-ETRS89-HU29-0702-LID.TIF,0702,MDT05,29,2010,83.09
PNOA-MDT05-ETRS89-HU29-0703-LID.TIF,0703,MDT05,29,2010,83.08
PNOA-MDT05-ETRS89-HU29-0704-LID.TIF,0704,MDT05,29,2010,80.5
PNOA-MDT05-ETRS89-HU29-0705-LID.TIF,0705,MDT05,29,2010,83.81
PNOA-MDT05-ETRS89-HU29-0726-LID.TIF,0726,MDT05,29,2010,43.84
PNOA-MDT05-ETRS89-HU29-0727-LID.TIF,0727,MDT05,29,2010,81.64
PNOA-MDT05-ETRS89-HU29-0728-LID.TIF,0728,MDT05,29,2010,83.04
PNOA-MDT05-ETRS89-HU29-0729-LID.TIF,0729,MDT05,29,2010,82.86
PNOA-MDT05-ETRS89-HU29-0730-LID.TIF,0730,MDT05,29,2010,84.88
PNOA-MDT05-ETRS89-HU29-0750-LID.TIF,0750,MDT05,29,2010,60.26
PNOA-MDT05-ETRS89-HU29-0751-LID.TIF,0751,MDT05,29,2010,79.24
PNOA-MDT05-ETRS89-HU29-0752-LID.TIF,0752,MDT05,29,2010,82.1
PNOA-MDT05-ETRS89-HU29-0753-LID.TIF,0753,MDT05,29,2010,77.02
PNOA-MDT05-ETRS89-HU29-0775-LID.TIF,0775,MDT05,29,2010,56.07
PNOA-MDT05-ETRS89-HU29-0776-LID.TIF,0776,MDT05,29,2010,70.79
PNOA-MDT05-ETRS89-HU29-0777-LID.TIF,0777,MDT05,29,2010,79.96
PNOA-MDT05-ETRS89-HU29-0778-LID.TIF,0778,MDT05,29,2010,76.83
PNOA-MDT05-ETRS89-HU29-0800-LID.TIF,0800,MDT05,29,2010,22.09
PNOA-MDT05-ETRS89-HU29-0801-LID.TIF,0801,MDT05,29,2010,77.8
PNOA-MDT05-ETRS89-HU29-0802-LID.TIF,0802,MDT05,29,2010,79.42
PNOA-MDT05-ETRS89-HU29-0803-LID.TIF,0803,MDT05,29,2010,76.91
PNOA-MDT05-ETRS89-HU29-0804-LID.TIF,0804,MDT05,29,2010,88.11
